timestamp,numHands,wid_RH,pitch_RH,yaw_RH,roll_RH,vel_RH,grab_RH,pinch_RH,wid_RA,wid_LH,pitch_LH,yaw_LH,roll_LH,vel_LH,grab_LH,pinch_LH,wid_LA,len_Rfing1,len_Rfing2,len_Rfing3,len_Rfing4,len_Rfing5,wid_Rfing1,wid_Rfing2,wid_Rfing3,wid_Rfing4,wid_Rfing5,vel_Rfing1,vel_Rfing2,vel_Rfing3,vel_Rfing4,vel_Rfing5,len_Lfing1,len_Lfing2,len_Lfing3,len_Lfing4,len_Lfing5,wid_Lfing1,wid_Lfing2,wid_Lfing3,wid_Lfing4,wid_Lfing5,vel_Lfing1,vel_Lfing2,vel_Lfing3,vel_Lfing4,vel_Lfing5,len_RBmet1,len_RBmet2,len_RBmet3,len_RBmet4,len_RBmet5,len_RBprox1,len_RBprox2,len_RBprox3,len_RBprox4,len_RBprox5,len_RBint1,len_RBint2,len_RBint3,len_RBint4,len_RBint5,len_RBdist1,len_RBdist2,len_RBdist3,len_RBdist4,len_RBdist5,len_LBmet1,len_LBmet2,len_LBmet3,len_LBmet4,len_LBmet5,len_LBprox1,len_LBprox2,len_LBprox3,len_LBprox4,len_LBprox5,len_LBint1,len_LBint2,len_LBint3,len_LBint4,len_LBint5,len_LBdist1,len_LBdist2,len_LBdist3,len_LBdist4,len_LBdist5,wid_RBmet1,wid_RBmet2,wid_RBmet3,wid_RBmet4,wid_RBmet5,wid_RBprox1,wid_RBprox2,wid_RBprox3,wid_RBprox4,wid_RBprox5,wid_RBint1,wid_RBint2,wid_RBint3,wid_RBint4,wid_RBint5,wid_RBdist1,wid_RBdist2,wid_RBdist3,wid_RBdist4,wid_RBdist5,wid_LBmet1,wid_LBmet2,wid_LBmet3,wid_LBmet4,wid_LBmet5,wid_LBprox1,wid_LBprox2,wid_LBprox3,wid_LBprox4,wid_LBprox5,wid_LBint1,wid_LBint2,wid_LBint3,wid_LBint4,wid_LBint5,wid_LBdist1,wid_LBdist2,wid_LBdist3,wid_LBdist4,wid_LBdist5,gest_circRad,gest_circVel,gest_swipeDir,gest_swipeVel,gest_STapDir,gest_STime,gest_KTapDir,gest_KTime 
"6702451012","2","83.8709","0.506382","-0.14740087","-0.26120374","35.670868","0.0","0.17354336","58.73452","83.8709","0.3403761","0.11737329","0.22495568","77.79702","0.0","0.11555106","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","38.939884","37.584633","42.435287","39.406456","41.38557","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","89.114334","88.3391","93.78303","99.413124","89.631935","0.0","46.01203","31.427944","21.572495","67.813484","39.601006","22.279299","15.748822","64.309326","44.42918","26.211527","17.3217","57.739017","41.18385","25.534584","17.222155","53.44841","32.592686","18.028513","15.888186","0.0","46.012016","31.427948","21.572493","67.813484","39.601006","22.279297","15.748811","64.30932","44.42918","26.211529","17.321705","57.73902","41.18385","25.53458","17.222155","53.448418","32.592686","18.028511","15.888191","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702468386","2","83.8709","0.5052199","-0.15045327","-0.25792685","34.319866","0.0","0.17084454","58.73452","83.8709","0.34396887","0.11546475","0.23209429","78.96193","0.0","0.122306","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","38.531525","38.49615","38.4166","35.741276","37.34632","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","89.8507","85.8486","89.02524","91.851204","83.14123","0.0","46.012024","31.427946","21.57249","67.813484","39.601","22.279299","15.748812","64.309326","44.42918","26.211527","17.321709","57.73902","41.18385","25.53458","17.222158","53.44841","32.59268","18.028513","15.88818","0.0","46.01203","31.427944","21.572493","67.813484","39.601","22.2793","15.7488165","64.309326","44.429184","26.211527","17.3217","57.73902","41.183846","25.534592","17.222153","53.448418","32.59268","18.02851","15.888188","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702494709","2","83.8709","0.50386035","-0.15446459","-0.25459045","38.475903","0.0","0.16789024","58.73452","83.8709","0.34593952","0.11426735","0.23798646","74.09616","0.0","0.12943377","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","44.38159","46.0925","41.19228","41.144226","39.47818","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","79.10556","75.760345","76.58555","76.54266","72.5685","0.0","46.012028","31.427946","21.572493","67.813484","39.601006","22.279299","15.748812","64.309326","44.429184","26.211523","17.321705","57.73902","41.183853","25.534588","17.222158","53.448414","32.59268","18.028513","15.888179","0.0","46.012024","31.427948","21.572493","67.813484","39.601006","22.279299","15.748821","64.309326","44.42918","26.211523","17.321714","57.73902","41.183853","25.534584","17.22215","53.448418","32.59268","18.028513","15.888184","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702520390","2","83.8709","0.502936","-0.15893333","-0.25086975","42.515263","0.0","0.16584748","58.73452","83.8709","0.3442733","0.11304624","0.24331836","69.780815","0.0","0.13597015","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","49.519253","52.280903","47.12355","47.276524","44.450283","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","72.97968","71.440056","69.51673","68.88926","67.74186","0.0","46.012024","31.427946","21.572493","67.81348","39.601006","22.279297","15.748809","64.30932","44.429176","26.211525","17.32171","57.739017","41.183853","25.534584","17.222157","53.448418","32.59268","18.02851","15.888196","0.0","46.012024","31.427946","21.572493","67.81349","39.601","22.279299","15.748817","64.309326","44.42918","26.211525","17.321703","57.73902","41.18385","25.534584","17.222158","53.448418","32.59268","18.028513","15.888183","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702539870","2","83.8709","0.5019564","-0.16194206","-0.24794409","48.299202","0.0","0.16430342","58.73452","83.8709","0.34085053","0.113075614","0.24543506","69.201294","0.0","0.14333469","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","55.53097","58.564964","53.915974","53.68963","50.990486","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","72.375496","77.19395","71.465546","70.40669","69.52432","0.0","46.01203","31.427948","21.572493","67.81349","39.601006","22.279299","15.7488165","64.30932","44.429184","26.211523","17.321707","57.739025","41.183853","25.534586","17.22216","53.44841","32.59268","18.028511","15.888184","0.0","46.012024","31.427948","21.572493","67.813484","39.601006","22.279295","15.7488165","64.309326","44.429184","26.211515","17.321707","57.739025","41.183846","25.534592","17.222155","53.448418","32.592678","18.02851","15.888189","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702563766","2","83.8709","0.5008046","-0.16647652","-0.24341528","61.131115","0.0","0.1628957","58.73452","83.8709","0.33675864","0.1120277","0.2542854","82.5173","0.0","0.15027581","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","68.41568","72.95145","69.181244","68.07349","65.59969","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","84.65503","90.84203","89.11631","87.378685","86.73579","0.0","46.012024","31.427948","21.572495","67.813484","39.601006","22.2793","15.748807","64.309326","44.42918","26.211525","17.321703","57.739025","41.183853","25.534588","17.222157","53.44841","32.59268","18.028511","15.888184","0.0","46.012024","31.427948","21.572493","67.813484","39.601006","22.2793","15.748825","64.309326","44.429184","26.211523","17.321716","57.739025","41.183846","25.534584","17.222155","53.448418","32.59268","18.02851","15.888186","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702581143","2","83.8709","0.4993861","-0.16928679","-0.24187715","64.995056","0.0","0.16220969","58.73452","83.8709","0.33529866","0.11064703","0.26307496","89.436485","0.0","0.15589054","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","72.253075","77.8927","75.72795","74.79124","74.924995","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","89.92985","96.648254","93.8249","95.79769","94.99145","0.0","46.01203","31.427948","21.572493","67.81348","39.60101","22.279297","15.748819","64.309326","44.42918","26.211525","17.321707","57.73902","41.18385","25.534584","17.222153","53.44842","32.59268","18.028513","15.888184","0.0","46.012024","31.427948","21.572493","67.813484","39.601006","22.279297","15.748817","64.30932","44.429184","26.211527","17.321705","57.73902","41.18385","25.534586","17.222155","53.448418","32.59268","18.028515","15.888185","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702598517","2","83.8709","0.49605316","-0.17373808","-0.2402352","67.852844","0.0","0.16158625","58.73452","83.8709","0.3325387","0.10864534","0.26711372","91.12485","0.0","0.16924949","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","76.440445","86.32544","85.80234","85.11469","89.29682","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","94.17595","115.08187","103.65105","105.27526","103.26044","0.0","46.01203","31.427948","21.572493","67.81349","39.601006","22.279299","15.748811","64.30932","44.429184","26.211527","17.321701","57.73902","41.183853","25.53458","17.222153","53.44841","32.59268","18.028511","15.88818","0.0","46.012024","31.427948","21.572493","67.81349","39.601006","22.279297","15.748812","64.309326","44.42918","26.211527","17.32171","57.739025","41.183853","25.534582","17.22215","53.448418","32.592678","18.028517","15.888187","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702624524","2","83.8709","0.4914799","-0.17902587","-0.2343521","78.558556","0.0","0.16166282","58.73452","83.8709","0.32678965","0.10670682","0.27753228","86.573715","0.0","0.17859238","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","85.67016","97.48285","97.69246","95.5239","98.26878","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","87.77081","107.32998","112.03349","109.3343","106.2394","0.0","46.012024","31.427944","21.572493","67.813484","39.601","22.279299","15.748819","64.309326","44.42918","26.211525","17.321709","57.739025","41.18385","25.534584","17.222158","53.44842","32.592678","18.02851","15.888188","0.0","46.01203","31.427948","21.572493","67.813484","39.601","22.2793","15.748818","64.309326","44.429184","26.211521","17.32171","57.73902","41.183853","25.534584","17.222149","53.448418","32.59268","18.028505","15.888192","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
"6702667773","2","83.8709","0.48001006","-0.19099396","-0.22761299","83.46846","0.0","0.16349676","58.73452","83.8709","0.31661794","0.11110852","0.2851907","85.529884","0.0","0.1949234","58.73452","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","90.04106","109.42036","111.52922","110.2956","106.804985","48.038765","54.20639","61.76383","59.38757","46.558754","18.665632","17.829412","17.51085","16.662685","14.8011","93.18761","117.95391","115.07584","120.07089","111.25327","0.0","46.012024","31.427946","21.572493","67.81348","39.601006","22.279293","15.748824","64.30932","44.429184","26.211525","17.321703","57.73902","41.183853","25.534588","17.222155","53.448418","32.59268","18.028513","15.888184","0.0","46.012028","31.427946","21.572493","67.81348","39.601006","22.279297","15.74882","64.309326","44.429184","26.21153","17.321703","57.73902","41.18385","25.53458","17.222162","53.448414","32.59268","18.028513","15.888184","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","18.665632","18.665632","18.665632","18.665632","17.829412","17.829412","17.829412","17.829412","17.51085","17.51085","17.51085","17.51085","16.662685","16.662685","16.662685","16.662685","14.8011","14.8011","14.8011","14.8011","null","null","null","null","null","null","null","null"
